Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Muffins,2,2.7,122,61.0,1,1,275.0
Munch Nation,2,3.9,823,412.0,1,1,350.0
Murliwala Bakers,2,0.0,0,0.0,1,1,275.0
Mirchievous,2,3.5,50,25.0,1,1,650.0
Mithaas,2,3.05,205,102.0,1,1,650.0
Mithaas Sweets,2,2.9,56,28.0,1,1,650.0
Mitthu Tikki Wala,2,3.3,67,34.0,1,1,300.0
Mogambo Kitchen,2,1.55,9,4.0,1,1,275.0
Moksha,2,3.45,164,82.0,1,1,1000.0
Mom's Kitchen,2,1.75,28,14.0,2,1,375.0
Momos House,2,3.1,37,18.0,1,1,350.0
Oh Buoy,2,3.35,105,52.0,1,1,600.0
Oh! Calcutta,2,4.1,1999,1000.0,2,1,1550.0
Olive Bistro,2,4.15,3708,1854.0,2,1,2000.0
Organic Express,2,3.2,27,14.0,2,1,700.0
Otik Cake Shop,2,3.65,271,136.0,2,1,350.0
Out Of The Box,2,3.85,4900,2450.0,1,1,1675.0
Paapi Paet,2,3.45,318,159.0,1,1,550.0
Pandey Chinese Hut,2,2.7,50,25.0,1,1,500.0
Night Food Delivery,2,1.35,7,4.0,2,1,500.0
Night Food Xprs,2,2.7,127,64.0,2,1,575.0
Night Munchers,2,0.0,1,0.0,2,1,500.0
Nooba,2,3.7,481,240.0,1,1,1500.0
Nutritious Nation,2,3.55,416,208.0,1,1,900.0
OCD - Online Cake Delivery,2,0.0,2,1.0,1,1,200.0
Oberoi Biryani,2,2.75,225,112.0,1,1,600.0
Oberoi's,2,3.4,83,42.0,1,1,525.0
Cook Du Kdu,2,3.15,164,82.0,2,1,650.0
Country Curries,2,3.1,147,74.0,1,1,750.0
Crazy Noodles,2,1.8,509,254.0,1,1,1100.0
Crudo Juicery,2,4.3,187,94.0,1,1,400.0
Crust N Cakes,2,3.3,24,12.0,1,1,550.0
D Food,2,0.0,3,2.0,1,1,300.0
Da Pizza Zone,2,0.0,2,1.0,2,1,550.0
Dabba Meat,2,3.25,224,112.0,1,1,550.0
Chutneez Restaurant Lounge & Bar,2,2.55,256,128.0,1,1,1200.0
Cinnabon,2,4.0,757,378.0,1,1,400.0
Circus,2,3.95,719,360.0,2,1,1275.0
Clever Fox Cafe,2,3.1,51,26.0,1,1,900.0
Coco Bambu,2,4.55,47,24.0,1,1,230.0
Coldpress Company,2,4.05,108,54.0,1,1,500.0
Comesum,2,2.35,300,150.0,1,1,350.0
Cones & Curries,2,1.85,153,76.0,1,1,275.0
Pasta Hub,2,3.05,23,12.0,1,1,225.0
Pasta Hut,2,3.4,116,58.0,1,1,400.0
Pastry Palace,2,1.6,13,6.0,1,1,425.0
Patiala Shahi,2,3.45,196,98.0,2,1,725.0
Pebble Street,2,3.95,1703,852.0,1,1,2100.0
Perch Wine & Coffee Bar,2,4.25,665,332.0,1,1,2000.0
Perfect Bake,2,3.55,165,82.0,1,1,400.0
Pho King Awesome,2,2.05,254,127.0,1,1,850.0
Chick-fil-A,2,3.7,192,96.0,2,1,10.0
Chili's Grill & Bar,2,3.95,813,406.0,2,2,762.0
Chilli Tadka,2,0.0,3,2.0,1,1,350.0
China Garden,2,3.85,1159,580.0,1,1,1800.0
China Hot Pot,2,2.75,31,16.0,2,1,400.0
China Hut,2,2.7,34,17.0,2,1,350.0
Paradise,2,3.7,1374,687.0,2,1,700.0
Paramjeet Machi Wala,2,3.5,152,76.0,1,1,725.0
Chao Cart,2,3.2,36,18.0,1,1,375.0
Chauhan Hotel,2,1.45,11,6.0,2,1,175.0
Chawla Family Restaurant,2,3.05,101,50.0,1,1,700.0
Chawla's,2,3.35,185,92.0,1,1,800.0
Chawla's Tandoori Xpress,2,2.85,120,60.0,1,1,600.0
Chawlas 2,2,1.5,28,14.0,1,1,650.0
Chawnsan Chef,2,3.4,117,58.0,1,1,700.0
Chennai Express,2,1.6,15,8.0,2,1,300.0
Pandit Ji Ki Apni Rasoi,2,1.2,6,3.0,1,1,275.0
Papa Buns,2,1.8,26,13.0,1,1,250.0
Papa Veg Chinese Food,2,3.35,62,31.0,1,1,425.0
Ceviche Tapas Bar & Restaurant,2,4.25,1993,996.0,1,1,25.0
Chaap Point,2,3.2,34,17.0,1,1,200.0
Chai Mantra,2,1.6,18,9.0,1,1,200.0
Chai Thela,2,1.55,11,6.0,1,1,250.0
Chalte Firte Momos & Special Foods,2,3.35,267,134.0,1,1,350.0
Cake Palace,2,3.25,171,86.0,1,1,225.0
Carl's Jr.,2,3.65,503,252.0,2,1,650.0
Punjabi Chicken,2,0.0,3,2.0,1,1,400.0
Qureshi Kabab Corner,2,3.65,81,40.0,1,1,250.0
Raasta,2,3.85,2943,1472.0,2,1,2000.0
Raj Rasoi,2,1.65,76,38.0,2,1,375.0
Raj Restaurant,2,2.75,103,52.0,1,1,700.0
Rajdhani Restaurant,2,0.0,0,0.0,1,1,300.0
Cafe Brown Sugar,2,3.65,551,276.0,1,1,875.0
Cafe Buddy's,2,1.45,6,3.0,2,1,100.0
Cafe Coffee Day The Square,2,3.65,410,205.0,1,1,700.0
Cafe Diva,2,3.85,456,228.0,1,1,2100.0
Caffe 9,2,4.2,1030,515.0,1,1,1700.0
Caffe Tonino,2,3.85,1604,802.0,2,1,1400.0
Caff�� La Poya,2,1.85,164,82.0,1,1,600.0
Cake 24x7,2,1.65,27,14.0,1,1,525.0
Punjabi By Nature,2,3.7,2026,1013.0,2,1,1550.0
Bon Bon Pastry Shop,2,3.3,304,152.0,2,1,150.0
BonJuz,2,1.55,8,4.0,1,1,200.0
Brijwasi Restaurant,2,3.0,71,36.0,1,1,400.0
Brown Town,2,1.35,13,6.0,1,1,150.0
Burger Hut,2,3.2,335,168.0,1,1,300.0
Burger Joint,2,1.75,165,82.0,2,1,300.0
Burgrill,2,4.45,427,214.0,2,1,475.0
Pitstop,2,1.65,87,44.0,2,1,600.0
Pizza Day,2,0.0,4,2.0,1,1,500.0
Pizza Diet,2,2.75,35,18.0,1,1,450.0
Pizza King,2,0.0,1,0.0,2,1,600.0
Pizza Yum,2,2.9,32,16.0,1,1,650.0
Prince Chaat Corner,2,3.45,96,48.0,1,1,200.0
Puja Sandwich House,2,1.35,17,8.0,1,1,300.0
Punjabee's Darbar,2,3.15,53,26.0,1,1,625.0
Shalimar Vyanjan,2,1.5,9,4.0,1,1,400.0
Shamji Sweets,2,3.05,41,20.0,1,1,400.0
Shankar Fast Food,2,2.95,89,44.0,2,1,300.0
Shawarma King's,2,3.4,143,72.0,1,1,250.0
Shree Durga Dosa,2,3.05,62,31.0,1,1,250.0
Shri Ram Restaurant,2,2.85,98,49.0,1,1,400.0
Bhappe Di Hatti,2,3.3,45,22.0,1,1,325.0
Bhimsain's Bengali Sweet House,2,3.15,564,282.0,1,1,425.0
Sagar Dhaba,2,1.55,29,14.0,1,1,350.0
San Carlo,2,4.25,893,446.0,2,1,35.0
Sandwich King,2,3.65,314,157.0,2,1,500.0
Say Cheese,2,2.7,192,96.0,1,1,400.0
Sbarro,2,3.4,1408,704.0,2,1,600.0
Senorita's,2,1.85,60,30.0,1,1,425.0
Sethi's The Cake Shop,2,3.35,166,83.0,1,1,175.0
Shake Square,2,3.65,1594,797.0,1,1,400.0
Rhinehart's Oyster Bar,2,4.0,782,391.0,1,1,25.0
Riyaz Chicken Corner,2,1.7,75,38.0,1,1,275.0
Roll Corner,2,1.65,14,7.0,1,1,200.0
Rolling Beans,2,2.8,14,7.0,1,1,225.0
Roti Aur Boti,2,3.35,56,28.0,1,1,100.0
Royal Spice,2,0.0,1,0.0,2,1,500.0
Royale Bakers,2,1.4,18,9.0,1,1,300.0
Sadda Adda,2,1.75,24,12.0,1,1,300.0
Rajshree,2,3.2,27,14.0,1,1,400.0
Ram Chinese Food,2,3.0,32,16.0,1,1,400.0
Ramesh Vaishno Dhaba,2,3.1,48,24.0,1,1,500.0
Rasoi,2,1.5,7,4.0,2,1,500.0
Rasoi - The Indian Zaika,2,0.0,2,1.0,1,1,375.0
Red Mango,2,3.65,550,275.0,2,1,700.0
Reena Restaurant,2,3.1,66,33.0,1,1,375.0
Relax Xpress,2,3.2,100,50.0,1,1,675.0
Singh Chicken,2,0.0,3,2.0,1,1,500.0
Singz,2,2.7,103,52.0,1,1,650.0
Smaaash,2,3.95,743,372.0,2,1,1375.0
Smoke House Deli,2,4.05,2292,1146.0,1,1,1625.0
Snack Junction,2,3.1,37,18.0,1,1,275.0
Snack Shack,2,1.35,15,8.0,2,1,350.0
Snacks Point,2,1.45,5,2.0,2,1,125.0
Sonya Bakery Cafe,2,3.4,54,27.0,1,1,350.0
Biryaniwala,2,2.35,94,47.0,1,1,375.0
Black Pepper,2,2.05,223,112.0,2,1,750.0
Blue Tokai Coffee Roasters,2,3.85,279,140.0,1,1,350.0
Bobby Tikki Wala,2,2.9,143,72.0,1,1,200.0
Bombay Brasserie,2,4.4,1984,992.0,2,1,1350.0
Shyam Sweets,2,3.45,209,104.0,2,1,125.0
Sibang Bakery,2,3.7,240,120.0,1,1,400.0
Silantro Fil-Mex,2,4.85,1364,682.0,2,1,800.0
Bikaner Rasoi,2,0.0,1,0.0,1,1,325.0
Bikaner Sweets & Bakers,2,0.0,2,1.0,2,1,300.0
Bikaner's,2,2.65,15,8.0,1,1,400.0
Bikano Chat Cafe,2,2.8,93,46.0,2,1,500.0
Biryani Art,2,3.7,352,176.0,1,1,1100.0
Biryani Bot,2,0.0,3,2.0,2,1,200.0
Biryani Express,2,0.0,1,0.0,2,1,250.0
Biryani Vice,2,1.8,19,10.0,1,1,500.0
Bhoj Restaurant,2,3.25,143,72.0,2,1,525.0
Big Biryani,2,0.0,1,0.0,1,1,300.0
Big Dragon,2,3.35,189,94.0,1,1,725.0
Big Fat Sandwich,2,3.2,253,126.0,1,1,800.0
Big Wong XL,2,3.95,361,180.0,2,1,1500.0
Bijoli Grill,2,3.7,525,262.0,1,1,800.0
Bikaner Kesarvala,2,1.6,26,13.0,1,1,125.0
Bikaner Misthan Bhandar,2,0.0,0,0.0,2,1,250.0
The Barbeque Company,2,4.0,869,434.0,1,1,1250.0
The Belgian Fries Company,2,1.85,32,16.0,2,1,400.0
The Big Chill Cakery,2,4.45,1059,530.0,2,1,700.0
The Big Scoop,2,0.0,0,0.0,2,1,250.0
The Blue Tandoor,2,2.75,59,30.0,1,1,850.0
The Breakfast Club,2,4.0,502,251.0,2,2,270.0
The Cafe,2,4.35,590,295.0,2,2,512.0
The Cake Shop,2,1.65,44,22.0,2,1,200.0
Tamura,2,3.4,182,91.0,1,1,1500.0
Tandoori Junction,2,1.2,13,6.0,2,1,300.0
Tandoori Tadka,2,1.65,18,9.0,1,1,375.0
Taste of India,2,2.1,186,93.0,2,2,512.0
Tea Trails,2,1.85,58,29.0,2,1,675.0
Teddy Boy,2,3.75,1527,764.0,2,1,1200.0
The Artful Baker,2,2.0,220,110.0,1,1,600.0
The Bake Studio,2,3.35,98,49.0,2,1,425.0
Spooky Sky,2,3.45,82,41.0,1,1,650.0
Standard Sweets,2,1.8,32,16.0,2,1,175.0
Stop My Starvation,2,4.3,209,104.0,1,1,375.0
Street Cafe,2,0.0,0,0.0,1,1,300.0
Sumo Sushi,2,3.95,91,46.0,1,1,1000.0
Super Snacks,2,1.55,44,22.0,1,1,400.0
Suruchi,2,3.6,836,418.0,2,1,700.0
Syall Kotian Da Dhaba,2,1.5,20,10.0,1,1,550.0
South Cafe,2,1.75,96,48.0,1,1,275.0
South Indian Cafe,2,3.0,60,30.0,1,1,300.0
South Indian Corner,2,3.4,89,44.0,1,1,225.0
Soya Bite's,2,0.0,2,1.0,1,1,350.0
Spanish Delights,2,3.3,33,16.0,1,1,200.0
Special Chicken Biryani,2,0.0,1,0.0,1,1,200.0
Spice Route,2,3.5,319,160.0,2,1,1100.0
SpiceKlub,2,4.3,3651,1826.0,2,2,825.0
ZASTY,2,3.5,80,40.0,1,1,500.0
Zaaika Junction,2,2.85,81,40.0,1,1,500.0
4700BC Popcorn,2,3.5,176,88.0,1,1,400.0
34 Parkstreet Lane,2,3.05,31,16.0,1,1,225.0
Zaika Kathi Rolls,2,1.5,16,8.0,2,1,125.0
10 Downing Street,2,4.0,670,335.0,2,1,1250.0
Zooby's Kitchen,2,3.15,52,26.0,2,1,800.0
Theos,2,3.8,529,264.0,1,1,500.0
Wood Box Cafe,2,3.95,3449,1724.0,1,1,750.0
AB's Absolute Barbecues,2,4.85,3151,1576.0,1,1,160.0
A Piece of Paris,2,3.75,81,40.0,2,1,600.0
Yadav Sweets,2,0.0,2,1.0,1,1,175.0
6 Pack Momos,2,1.4,8,4.0,1,1,300.0
Yo! Dimsum,2,1.5,11,6.0,1,1,200.0
Yomo-Your Only Momo Outlet,2,3.0,11,6.0,1,1,150.0
Yumm Biryani,2,3.2,187,94.0,1,1,550.0
The Roll Van,2,2.95,9,4.0,1,1,500.0
The Square Meal,2,0.0,1,0.0,2,1,800.0
The Tandoor,2,3.0,166,83.0,1,1,675.0
The Taste,2,3.05,11,6.0,2,1,375.0
Wheelyz,2,2.85,73,36.0,1,1,550.0
Whipped,2,4.2,1497,748.0,1,1,550.0
Wild Chef House,2,1.55,14,7.0,1,1,500.0
Aap Ki Khatir,2,0.0,0,0.0,1,1,400.0
The Junkyard Cafe,2,3.85,1765,882.0,1,1,1500.0
The Kitchen,2,2.95,67,34.0,1,1,475.0
The Mad Teapot/The Wishing Chair,2,4.25,334,167.0,2,1,1000.0
The Mirch Masala,2,3.1,29,14.0,1,1,675.0
The National,2,4.15,677,338.0,2,2,278.0
The Night Owl,2,1.4,52,26.0,1,1,450.0
The Pint Room,2,3.7,203,102.0,2,1,1700.0
The Pirates Of China Town,2,1.6,17,8.0,1,1,350.0
Granite City Food & Brewery,2,4.05,628,314.0,2,1,32.0
Green Chilli,2,1.4,19,10.0,1,1,500.0
Green Leaf,2,3.25,220,110.0,2,1,600.0
Green Restaurant,2,1.8,47,24.0,1,1,325.0
Green Valley Chinese Food,2,0.0,0,0.0,1,1,275.0
Grillz,2,2.35,104,52.0,1,1,500.0
Grover Sweets,2,1.55,10,5.0,1,1,175.0
Gulab,2,2.95,51,26.0,2,1,550.0
Weird Time Food,2,3.35,56,28.0,2,1,600.0
Wendy's,2,3.8,814,407.0,2,1,400.0
Whatslife.in,2,0.0,0,0.0,1,1,500.0
Garden Hut,2,2.9,21,10.0,1,1,350.0
Garota de Ipanema,2,4.6,59,30.0,1,1,100.0
Ghar Ka Khana,2,0.0,1,0.0,2,1,125.0
Go Kylin,2,3.15,90,45.0,2,1,1500.0
Golden Bakery,2,0.0,2,1.0,1,1,250.0
Urban Dhaba,2,2.85,51,26.0,2,1,625.0
VadaPav 'n' Frankie,2,1.5,5,2.0,1,1,100.0
Vadapav Junction,2,3.45,62,31.0,1,1,250.0
Vaishno Punjabi Dhaba,2,3.25,82,41.0,1,1,400.0
Vaishno Rasoi,2,1.3,26,13.0,1,1,350.0
WTF - World's Tastiest Food,2,2.4,26,13.0,1,1,800.0
Wagh Bakri Tea Lounge,2,3.6,102,51.0,1,1,475.0
Wai Yu Mun Ching,2,3.55,433,216.0,1,1,800.0
Timboo Cafe,2,4.2,213,106.0,1,1,70.0
Tipu Sultan,2,3.85,427,214.0,2,2,448.0
Town Hall,2,3.65,1199,600.0,2,1,2500.0
Truffles,2,3.95,9682,4841.0,2,1,550.0
Twigly,2,4.55,471,236.0,1,1,500.0
Twisted Tacos,2,3.6,242,121.0,1,1,750.0
U Like,2,1.5,19,10.0,1,1,375.0
Underdoggs Sports Bar & Grill,2,4.35,346,173.0,2,1,1475.0
