Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Aggarwal Sweet India,5,1.7,35,7.0,1,1,170.0
The Chinese Hut,5,2.86,155,31.0,2,1,380.0
Punjab Grill,5,4.34,5424,1085.0,4,2,1426.0
Chili's,5,4.58,8156,1631.0,4,1,1700.0
South Indian Hut,4,1.58,43,11.0,1,1,250.0
Zaika,4,2.85,245,61.0,2,1,538.0
Hong Kong Express,4,3.48,510,128.0,2,1,725.0
Hot Pot,4,2.08,232,58.0,1,1,275.0
FreshMenu,4,3.72,467,117.0,2,1,600.0
Jamie's Italian,4,4.05,663,166.0,4,2,138.0
Aapki Rasoi,4,1.52,34,8.0,2,1,250.0
Big Chill,4,4.47,10853,2713.0,1,1,1500.0
Jungle Jamboree,4,3.82,2705,676.0,3,1,1350.0
Kwality Wall's Swirl's,4,0.75,6,2.0,2,1,200.0
Super Cake Shop,4,2.05,20,5.0,1,1,300.0
Deez Biryani & Kebabs,4,3.65,1532,383.0,3,1,725.0
Kathi Junction,4,1.62,174,44.0,3,1,312.0
Sugar & Spice - Le Marche,4,2.9,351,88.0,2,1,800.0
Bun Intended,4,3.95,615,154.0,2,1,850.0
Public Cafe,4,2.4,107,27.0,1,1,450.0
Pirates of Grill,4,4.02,7091,1773.0,4,1,1625.0
Chai Point,4,3.1,623,156.0,1,1,200.0
Chai Garam,4,0.72,9,2.0,1,1,262.0
Pakwan,4,2.08,126,32.0,2,1,550.0
Chaska,4,2.38,220,55.0,1,1,350.0
Chawla's 2,4,1.7,116,29.0,1,1,1050.0
Punjabi Zaika,4,2.35,223,56.0,3,1,400.0
Rainbows,4,3.1,113,28.0,1,1,425.0
Punjabi's Veg Grill,4,2.3,25,6.0,1,1,350.0
Puri Bakers,4,3.72,432,108.0,1,1,300.0
Qureshi's Kabab Corner,4,3.58,744,186.0,2,1,638.0
Meatwale.com,4,0.0,4,1.0,2,1,262.0
Momo-Cha,4,2.72,124,31.0,1,1,412.0
Burger Xpress,4,1.62,116,29.0,2,1,300.0
Applebee's,4,3.9,1057,264.0,4,2,242.0
Open Oven,4,3.48,553,138.0,1,1,250.0
Nirula's,4,2.65,478,120.0,3,1,1062.0
Nite Bites,4,3.18,507,127.0,2,1,650.0
Mx Corn,4,0.78,10,2.0,4,1,100.0
Nizam's Kathi Kabab,4,3.65,2356,589.0,2,1,900.0
DCK- Dana Choga's Kitchen,4,3.12,1037,259.0,3,1,800.0
Colonel's Kababz,4,3.2,766,192.0,2,1,825.0
Tea Villa Cafe,4,3.92,5167,1292.0,1,1,1000.0
Gola Sizzlers,4,3.3,1968,492.0,3,1,1500.0
Gelato Vinto,4,2.98,70,18.0,3,1,250.0
GoGourmet,4,2.65,99,25.0,2,1,600.0
The Coffee Bean & Tea Leaf,4,3.42,855,214.0,2,1,700.0
Bawarchi,4,3.12,86,22.0,3,1,512.0
AB's - Absolute Barbecues,4,4.82,13400,3350.0,3,1,1500.0
The Kathis,4,3.0,247,62.0,2,1,300.0
Wok On Fire,3,3.8,542,181.0,2,1,800.0
The Golden Dragon,3,2.83,304,101.0,2,1,1500.0
The Fisherman's Wharf,3,4.27,1022,341.0,2,1,1233.0
